iter	Passed	Remaining
0	0	312
1	0	276
2	0	277
3	1	271
4	1	265
5	1	259
6	1	257
7	2	251
8	2	250
9	2	247
10	2	246
11	2	245
12	3	244
13	3	242
14	3	239
15	3	239
16	4	238
17	4	237
18	4	236
19	4	234
20	4	232
21	5	231
22	5	230
23	5	229
24	5	228
25	6	227
26	6	227
27	6	226
28	6	225
29	6	224
30	7	223
31	7	223
32	7	222
33	7	222
34	8	221
35	8	221
36	8	220
37	8	219
38	8	219
39	9	219
40	9	219
41	9	220
42	9	221
43	10	221
44	10	221
45	10	221
46	10	221
47	11	221
48	11	222
49	11	222
50	11	222
51	12	222
52	12	222
53	12	222
54	12	222
55	13	222
56	13	222
57	13	222
58	13	222
59	14	222
60	14	222
61	14	223
62	14	223
63	15	223
64	15	223
65	15	223
66	16	223
67	16	221
68	16	221
69	16	221
70	16	221
71	17	220
72	17	220
73	17	220
74	17	220
75	18	220
76	18	220
77	18	221
78	18	221
79	19	221
80	19	221
81	19	221
82	20	221
83	20	221
84	20	220
85	20	220
86	20	218
87	21	219
88	21	218
89	21	218
90	21	218
91	22	218
92	22	218
93	22	218
94	22	218
95	23	218
96	23	218
97	23	218
98	23	218
99	24	218
100	24	217
101	24	216
102	24	216
103	25	215
104	25	215
105	25	215
106	25	215
107	26	214
108	26	214
109	26	214
110	26	214
111	26	213
112	27	213
113	27	213
114	27	213
115	27	212
116	28	212
117	28	212
118	28	211
119	28	211
120	29	211
121	29	211
122	29	209
123	29	209
124	29	209
125	30	209
126	30	209
127	30	208
128	30	208
129	31	207
130	31	207
131	31	207
132	31	207
133	32	207
134	32	207
135	32	206
136	32	206
137	32	206
138	33	205
139	33	205
140	33	205
141	33	204
142	34	204
143	34	203
144	34	203
145	34	203
146	34	202
147	35	202
148	35	202
149	35	201
150	35	201
151	36	201
152	36	200
153	36	200
154	36	199
155	36	199
156	37	199
157	37	198
158	37	198
159	37	197
160	37	197
161	38	196
162	38	196
163	38	196
164	38	195
165	38	195
166	39	195
167	39	194
168	39	194
169	39	193
170	39	193
171	40	193
172	40	192
173	40	192
174	40	192
175	40	191
176	41	191
177	41	191
178	41	190
179	41	190
180	41	189
181	42	189
182	42	188
183	42	188
184	42	187
185	42	187
186	43	187
187	43	186
188	43	186
189	43	186
190	43	185
191	44	185
192	44	185
193	44	184
194	44	184
195	44	184
196	45	183
197	45	183
198	45	183
199	45	182
200	45	182
201	46	182
202	46	181
203	46	181
204	46	181
205	46	180
206	47	180
207	47	180
208	47	179
209	47	179
210	47	179
211	48	178
212	48	178
213	48	178
214	48	177
215	48	177
216	49	177
217	49	176
218	49	176
219	49	176
220	49	175
221	50	175
222	50	175
223	50	175
224	50	174
225	50	174
226	51	174
227	51	173
228	51	173
229	51	173
230	51	172
231	52	172
232	52	172
233	52	171
234	52	171
235	52	171
236	53	170
237	53	170
238	53	170
239	53	170
240	53	169
241	54	169
242	54	169
243	54	168
244	54	168
245	54	168
246	55	168
247	55	167
248	55	167
249	55	167
250	55	167
251	57	170
252	57	170
253	57	169
254	58	169
255	58	169
256	58	169
257	58	169
258	59	169
259	59	168
260	59	168
261	59	168
262	60	168
263	60	168
264	60	167
265	60	167
266	61	167
267	61	167
268	61	167
269	61	167
270	62	167
271	62	167
272	62	166
273	62	166
274	63	166
275	63	166
276	63	166
277	64	166
278	64	166
279	64	166
280	64	165
281	65	165
282	65	165
283	65	165
284	65	165
285	66	165
286	66	165
287	66	164
288	67	164
289	67	164
290	67	164
291	67	164
292	68	164
293	68	164
294	68	163
295	68	163
296	69	163
297	69	163
298	69	163
299	69	163
300	70	162
301	70	162
302	70	162
303	70	162
304	71	162
305	71	162
306	71	161
307	71	161
308	72	161
309	72	161
310	72	161
311	72	160
312	73	160
313	73	160
314	73	160
315	73	160
316	74	159
317	74	159
318	74	159
319	74	159
320	75	159
321	75	158
322	75	158
323	75	158
324	76	158
325	76	157
326	76	157
327	76	157
328	77	157
329	77	157
330	77	156
331	77	156
332	78	156
333	78	156
334	78	156
335	78	155
336	79	155
337	79	155
338	79	155
339	79	154
340	80	154
341	80	154
342	80	154
343	80	154
344	81	153
345	81	153
346	81	153
347	81	153
348	82	153
349	82	152
350	82	152
351	82	152
352	82	152
353	83	151
354	83	151
355	83	151
356	83	151
357	84	151
358	84	150
359	84	150
360	84	150
361	85	150
362	85	149
363	85	149
364	85	149
365	86	149
366	86	148
367	86	148
368	86	148
369	87	148
370	87	148
371	87	147
372	87	147
373	88	147
374	88	147
375	88	147
376	88	146
377	89	146
378	89	146
379	89	146
380	89	146
381	90	145
382	90	145
383	90	145
384	90	145
385	91	144
386	91	144
387	91	144
388	91	144
389	92	144
390	92	143
391	92	143
392	92	143
393	93	143
394	93	142
395	93	142
396	93	142
397	94	142
398	94	142
399	94	141
400	94	141
401	95	141
402	95	141
403	95	140
404	95	140
405	96	140
406	96	140
407	96	140
408	96	139
409	96	139
410	97	139
411	97	139
412	97	138
413	97	138
414	98	138
415	98	138
416	98	138
417	98	137
418	99	137
419	99	137
420	99	137
421	99	136
422	100	136
423	100	136
424	100	136
425	100	135
426	101	135
427	101	135
428	101	135
429	101	135
430	102	134
431	102	134
432	102	134
433	102	134
434	103	133
435	103	133
436	103	133
437	103	133
438	104	133
439	104	132
440	104	132
441	104	132
442	105	132
443	105	131
444	105	131
445	105	131
446	106	131
447	107	131
448	107	131
449	107	131
450	107	131
451	108	131
452	108	130
453	108	130
454	108	130
455	109	130
456	109	129
457	109	129
458	109	129
459	110	129
460	110	128
461	110	128
462	110	128
463	111	128
464	111	128
465	111	127
466	111	127
467	112	127
468	112	127
469	112	126
470	112	126
471	113	126
472	113	126
473	113	126
474	113	125
475	114	125
476	114	125
477	114	125
478	114	124
479	115	124
480	115	124
481	115	124
482	115	124
483	116	123
484	116	123
485	116	123
486	116	123
487	117	122
488	117	122
489	117	122
490	117	122
491	118	121
492	118	121
493	118	121
494	118	121
495	119	120
496	119	120
497	119	120
498	119	120
499	120	120
500	120	119
501	120	119
502	120	119
503	121	119
504	121	118
505	121	118
506	121	118
507	122	118
508	122	117
509	122	117
510	122	117
511	122	117
512	123	116
513	123	116
514	123	116
515	123	116
516	124	116
517	124	115
518	124	115
519	124	115
520	125	115
521	125	114
522	125	114
523	125	114
524	126	114
525	126	113
526	126	113
527	126	113
528	127	113
529	127	112
530	127	112
531	127	112
532	128	112
533	128	112
534	128	111
535	128	111
536	129	111
537	129	111
538	129	110
539	129	110
540	130	110
541	130	110
542	130	109
543	130	109
544	131	109
545	131	109
546	131	108
547	131	108
548	131	108
549	132	108
550	132	107
551	132	107
552	132	107
553	133	107
554	133	106
555	133	106
556	133	106
557	134	106
558	134	106
559	134	105
560	134	105
561	135	105
562	135	105
563	135	104
564	135	104
565	136	104
566	136	104
567	136	103
568	136	103
569	137	103
570	137	103
571	137	102
572	137	102
573	138	102
574	138	102
575	138	101
576	138	101
577	139	101
578	139	101
579	139	101
580	139	100
581	140	100
582	140	100
583	140	100
584	140	99
585	141	99
586	141	99
587	141	99
588	141	98
589	142	98
590	142	98
591	142	98
592	142	97
593	143	97
594	143	97
595	143	97
596	143	97
597	144	96
598	144	96
599	144	96
600	144	96
601	145	95
602	145	95
603	145	95
604	145	95
605	145	94
606	146	94
607	146	94
608	146	94
609	146	93
610	147	93
611	147	93
612	147	93
613	147	93
614	148	92
615	148	92
616	148	92
617	149	92
618	149	91
619	149	91
620	149	91
621	150	91
622	150	90
623	150	90
624	150	90
625	150	90
626	151	89
627	151	89
628	151	89
629	151	89
630	152	88
631	152	88
632	152	88
633	152	88
634	153	87
635	153	87
636	153	87
637	153	87
638	154	87
639	154	86
640	154	86
641	154	86
642	155	86
643	155	85
644	155	85
645	155	85
646	156	85
647	156	84
648	156	84
649	156	84
650	157	84
651	157	83
652	157	83
653	157	83
654	158	83
655	158	83
656	158	82
657	158	82
658	159	82
659	159	82
660	159	81
661	159	81
662	159	81
663	160	81
664	160	80
665	160	80
666	160	80
667	161	80
668	161	79
669	161	79
670	161	79
671	162	79
672	162	78
673	162	78
674	162	78
675	163	78
676	163	77
677	163	77
678	163	77
679	164	77
680	164	76
681	164	76
682	164	76
683	165	76
684	165	76
685	165	75
686	165	75
687	166	75
688	166	75
689	166	74
690	166	74
691	167	74
692	167	74
693	167	73
694	167	73
695	168	73
696	168	73
697	168	72
698	168	72
699	168	72
700	169	72
701	169	71
702	169	71
703	169	71
704	170	71
705	170	70
706	170	70
707	170	70
708	171	70
709	171	69
710	171	69
711	171	69
712	172	69
713	172	69
714	172	68
715	172	68
716	173	68
717	173	68
718	173	67
719	173	67
720	174	67
721	174	67
722	174	66
723	174	66
