iter	Passed	Remaining
0	48	48222
1	49	24587
2	50	16703
3	50	12692
4	51	10292
5	52	8707
6	53	7545
7	54	6697
8	54	6029
9	55	5497
10	56	5064
11	57	4705
12	57	4395
13	58	4133
14	59	3918
15	60	3726
16	61	3559
17	62	3402
18	63	3266
19	63	3135
20	64	3021
21	65	2915
22	66	2817
23	67	2734
24	67	2651
25	68	2572
26	69	2498
27	70	2437
28	70	2375
29	71	2319
30	72	2264
31	73	2213
32	73	2164
33	74	2120
34	75	2076
35	75	2034
36	76	1996
37	77	1958
38	77	1921
39	78	1888
40	79	1859
41	80	1829
42	80	1801
43	81	1771
44	82	1740
45	82	1714
46	83	1687
47	83	1661
48	84	1634
49	84	1610
50	85	1585
51	86	1573
52	86	1552
53	87	1533
54	88	1512
55	88	1492
56	88	1472
57	89	1452
58	89	1434
59	90	1416
60	90	1399
61	91	1381
62	91	1365
63	92	1350
64	92	1336
65	93	1320
66	93	1305
67	94	1291
68	94	1276
69	94	1261
70	95	1246
71	95	1232
72	96	1219
73	96	1206
74	96	1192
75	96	1179
76	97	1165
77	97	1153
78	97	1141
79	98	1128
80	98	1116
81	98	1105
82	98	1092
83	99	1081
84	99	1070
85	99	1059
86	99	1048
87	100	1038
88	100	1028
89	100	1018
90	100	1008
91	101	998
92	101	989
93	101	980
94	101	971
95	102	962
96	102	953
97	102	944
98	102	936
99	103	927
100	103	919
101	103	911
102	103	903
103	104	896
104	104	888
105	104	881
106	104	873
107	104	866
108	105	859
109	105	852
110	105	846
111	105	839
112	106	832
113	106	826
114	106	819
115	106	813
116	106	806
117	107	800
118	107	794
119	107	788
120	107	783
121	108	778
122	108	772
123	108	767
124	108	761
125	109	756
126	109	751
127	109	746
128	109	741
129	109	736
130	110	730
131	110	726
132	110	721
133	110	716
134	111	711
135	111	706
136	111	702
137	111	697
138	111	693
139	112	689
140	112	684
141	112	680
142	112	675
143	112	671
144	113	667
145	113	663
146	113	659
147	113	655
148	114	651
149	114	648
150	114	644
151	114	640
152	115	636
153	115	632
154	115	629
155	115	625
156	115	621
157	116	618
158	116	614
159	116	611
160	116	607
161	116	604
162	117	601
163	117	597
164	117	594
165	117	591
166	117	588
167	118	585
168	118	581
169	118	578
170	118	575
171	118	572
172	119	569
173	119	566
174	119	563
175	119	560
176	120	558
177	120	555
178	120	552
179	120	549
180	120	546
181	121	544
182	121	541
183	121	538
184	121	536
185	121	533
186	122	530
187	122	528
188	122	525
189	122	523
190	122	520
191	123	518
192	123	515
193	123	513
194	123	511
195	124	508
196	124	506
197	124	504
198	124	501
199	124	499
200	125	497
201	125	494
202	125	492
203	125	490
204	125	488
205	126	486
206	126	483
207	126	481
208	126	479
209	126	477
210	127	475
211	127	473
212	127	471
213	127	469
214	128	467
215	128	465
216	128	463
217	128	461
218	128	459
219	129	457
220	129	455
221	129	453
222	129	451
223	129	450
224	130	448
225	130	446
226	130	444
227	130	442
228	130	441
229	131	439
230	131	437
231	131	435
232	131	433
233	132	432
234	132	431
235	132	430
236	133	428
237	133	426
238	133	425
239	133	423
240	133	421
241	134	420
242	134	418
243	134	417
244	134	415
245	135	413
246	135	412
247	135	410
248	135	409
249	135	407
250	136	405
251	136	404
252	136	402
253	136	401
254	136	399
255	137	398
256	137	396
257	137	395
258	137	394
259	137	392
260	138	391
261	138	389
262	138	388
263	138	386
264	138	385
265	139	384
266	139	382
267	139	381
268	139	379
269	140	378
270	140	377
271	140	376
272	140	374
273	140	373
274	141	372
275	141	370
276	141	369
277	141	368
278	142	367
279	142	365
280	142	364
281	142	363
282	142	362
283	143	360
284	143	359
285	143	358
286	143	357
287	143	355
288	144	354
289	144	353
290	144	352
291	144	351
292	145	349
293	145	348
294	145	347
295	145	346
296	145	345
297	146	344
298	146	343
299	146	342
300	146	341
301	147	340
302	147	338
303	147	337
304	147	336
305	147	335
306	148	334
307	148	333
308	148	332
309	148	331
310	149	330
311	149	329
312	149	328
313	149	326
314	149	325
315	150	324
316	150	323
317	150	322
318	150	321
319	150	320
320	151	319
321	151	318
322	151	317
323	151	316
324	151	315
325	152	314
326	152	313
327	152	312
328	152	311
329	153	310
330	153	309
331	153	308
332	153	307
333	153	306
334	154	305
335	154	304
336	154	304
337	154	303
338	155	302
339	155	301
340	155	300
341	155	299
342	155	298
343	156	297
344	156	296
345	156	295
346	156	294
347	156	294
348	157	293
349	157	292
350	157	291
351	157	290
352	158	289
353	158	288
354	158	287
355	158	287
356	158	286
357	159	285
358	159	284
359	159	283
360	159	282
361	159	281
362	160	280
363	160	280
364	160	279
365	160	278
366	161	277
367	161	277
368	161	276
369	161	275
370	162	274
371	162	273
372	162	273
373	162	272
374	162	271
375	163	270
376	163	269
377	163	269
378	163	268
379	163	267
380	164	266
381	164	265
382	164	265
383	164	264
384	164	263
385	165	262
386	165	261
387	165	261
388	165	260
389	165	259
390	166	258
391	166	258
392	166	257
393	166	256
394	166	255
395	167	254
396	167	254
397	167	253
398	167	252
399	167	251
400	168	251
401	168	250
402	168	249
403	168	249
404	169	248
405	169	247
406	169	246
407	169	246
408	169	245
409	170	244
410	170	244
411	170	243
412	170	242
413	170	242
414	171	241
415	171	240
416	171	239
417	171	239
418	172	238
419	172	237
420	172	237
421	172	236
422	172	235
423	173	235
424	173	234
425	173	233
426	173	232
427	173	232
428	173	231
429	174	230
430	174	230
431	174	229
432	174	228
433	175	228
434	175	227
435	175	226
436	175	226
437	175	225
438	176	224
439	176	224
440	176	223
441	176	222
442	176	222
443	177	221
444	177	221
445	177	220
446	177	219
447	177	219
448	178	218
449	178	217
450	178	217
451	178	216
452	178	215
453	179	215
454	179	214
455	179	214
456	179	213
457	179	212
458	182	214
459	182	214
460	182	213
461	182	212
462	183	212
463	183	211
464	183	211
465	183	210
466	183	209
467	184	209
468	184	208
469	184	208
470	184	207
471	184	206
472	185	206
473	185	205
474	185	205
475	186	204
476	186	204
477	186	203
478	186	203
479	187	202
480	187	202
481	187	201
482	187	201
483	188	200
484	188	199
485	188	199
486	188	198
487	188	198
488	189	197
489	189	197
490	189	196
491	189	196
492	190	195
493	190	194
494	190	194
495	190	193
496	190	193
497	191	192
498	191	192
499	191	191
500	191	191
501	192	190
502	192	189
503	192	189
504	192	188
505	192	188
506	193	187
507	193	187
508	193	186
509	193	186
510	193	185
511	194	184
512	194	184
513	194	183
514	194	183
515	194	182
516	195	182
517	195	181
518	195	181
519	195	180
520	196	180
521	196	179
522	196	179
523	196	178
524	196	178
525	197	177
526	197	177
527	197	176
528	197	176
529	197	175
530	198	174
531	198	174
532	198	174
533	198	173
534	199	173
535	199	172
536	199	171
537	199	171
538	199	170
539	200	170
540	200	169
541	200	169
542	200	169
543	201	168
544	201	168
545	201	167
546	201	167
547	201	166
